Ticker,Company,Sector,Industry,Market Cap,Days Seen,Total Days,Dates,Max ATR%,Max EPS%,Max Appearances,Screeners Hit,Base Score,Signal Score,Q Rank,Stage,Quality Mod,Watch,EP,IPO,MULTI,HIGH,CHAR,CC_DEEP,CC_WATCH
LITE,Lumentum Holdings Inc,Technology,Communication Equipment,50.17B,3,4,"2026-03-24, 2026-03-25, 2026-03-27",9.6,146.6,2,"52 Week High, Growth",115.0,125.0,45,Transitional,0,True,False,False,False,True,False,False,False
PL,Planet Labs PBC,Industrials,Aerospace & Defense,12.04B,1,4,2026-03-25,8.9,-86.8,3,"10% Change, 52 Week High, Week 20%+ Gain",75.0,125.0,47,Transitional,0,True,True,False,True,False,False,False,False
ELVN,Enliven Therapeutics Inc,Healthcare,Biotechnology,2.32B,3,4,"2026-03-25, 2026-03-26, 2026-03-27",6.1,2.2,2,"10% Change, Week 20%+ Gain",115.0,120.0,23,Transitional,-20,True,False,False,False,False,True,False,False
SQM,Sociedad Quimica Y Minera de Chile S.A. ADR,Basic Materials,Specialty Chemicals,11.81B,3,4,"2026-03-24, 2026-03-25, 2026-03-27",4.7,249.2,1,Growth,85.0,115.0,97,Uptrend,30,False,False,False,False,False,False,False,False
ARM,Arm Holdings plc. ADR,Technology,Semiconductors,153.07B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",5.9,-2.0,1,IPO,110.0,115.0,35,Basing,-10,False,False,True,False,False,False,False,False
AR,Antero Resources Corp,Energy,Oil & Gas E&P,13.93B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",3.6,1000.6,1,Growth,110.0,110.0,42,Transitional,0,True,False,False,False,False,False,False,False
DELL,Dell Technologies Inc,Technology,Computer Hardware,110.95B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",4.7,39.6,1,Growth,110.0,110.0,40,Transitional,0,True,False,False,False,False,False,False,False
EQT,EQT Corp,Energy,Oil & Gas E&P,42.17B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",3.1,694.2,1,Growth,110.0,110.0,42,Transitional,0,True,False,False,False,False,False,False,False
MRVL,Marvell Technology Inc,Technology,Semiconductors,82.95B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",4.8,405.2,1,Growth,110.0,110.0,49,Transitional,0,True,False,False,False,False,False,False,False
KGS,Kodiak Gas Services Inc,Energy,Oil & Gas Equipment & Services,5.02B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",3.5,50.7,1,IPO,110.0,105.0,26,Transitional,-20,False,False,True,False,False,False,False,False
CGON,Cg Oncology Inc,Healthcare,Biotechnology,5.46B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",5.0,-80.1,1,IPO,110.0,105.0,16,Transitional,-20,False,False,True,False,False,False,False,False
SNDK,Sandisk Corp,Technology,Computer Hardware,100.05B,2,4,"2026-03-24, 2026-03-25",7.9,-328.0,2,"Growth, IPO",90.0,105.0,47,Transitional,0,False,False,True,False,False,False,False,False
KRMN,Karman Holdings Inc,Industrials,Aerospace & Defense,13.18B,2,4,"2026-03-24, 2026-03-25",7.1,-28.0,2,"Growth, IPO",90.0,105.0,42,Transitional,0,False,False,True,False,False,False,False,False
ULS,UL Solutions Inc,Industrials,Specialty Business Services,16.87B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",3.8,-1.0,1,IPO,110.0,105.0,24,Transitional,-20,False,False,True,False,False,False,False,False
KC,Kingsoft Cloud Holdings Ltd ADR,Technology,Software - Application,4.02B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",6.8,56.6,1,Growth,110.0,100.0,26,Basing,-10,True,False,False,False,False,False,False,False
NVT,nVent Electric plc,Industrials,Electrical Equipment & Parts,20.54B,2,4,"2026-03-24, 2026-03-25",4.7,116.2,2,"52 Week High, Growth",90.0,100.0,48,Transitional,0,True,False,False,False,True,False,False,False
VRT,Vertiv Holdings Co,Industrials,Electrical Equipment & Parts,105.66B,2,4,"2026-03-24, 2026-03-25",5.4,164.2,2,"52 Week High, Growth",90.0,100.0,56,Transitional,0,True,False,False,False,True,False,False,False
AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,8.60B,2,4,"2026-03-24, 2026-03-25",11.1,84.7,3,"10% Change, Growth, Week 20%+ Gain",100.0,100.0,33,Transitional,-20,True,False,False,True,False,False,False,False
JBL,Jabil Inc,Technology,Electronic Components,29.91B,2,4,"2026-03-24, 2026-03-25",4.5,78.7,2,"52 Week High, Growth",90.0,100.0,44,Transitional,0,True,False,False,False,True,False,False,False
CXW,CoreCivic Inc,Industrials,Security & Protection Services,1.90B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",4.1,74.8,1,Growth,110.0,100.0,17,Basing,-10,True,False,False,False,False,False,False,False
CRGY,Crescent Energy Co,Energy,Oil & Gas E&P,4.49B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",4.3,177.6,1,52 Week High,110.0,100.0,30,Transitional,-20,True,False,False,False,True,False,False,False
OLN,Olin Corp,Basic Materials,Chemicals,3.30B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",6.2,-141.4,1,52 Week High,110.0,100.0,19,Transitional,-20,True,False,False,False,True,False,False,False
AXTI,AXT Inc,Technology,Semiconductor Equipment & Materials,3.74B,2,4,"2026-03-24, 2026-03-25",10.0,-79.1,2,"52 Week High, Week 20%+ Gain",90.0,100.0,24,Transitional,-20,True,True,False,False,False,False,False,False
YPF,YPF ADR,Energy,Oil & Gas Integrated,17.76B,3,4,"2026-03-24, 2026-03-26, 2026-03-27",4.2,-133.0,1,52 Week High,85.0,95.0,42,Transitional,0,False,False,False,False,True,False,False,False
SNDX,Syndax Pharmaceuticals Inc,Healthcare,Biotechnology,2.07B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",4.9,11.6,1,Growth,110.0,90.0,20,Transitional,-20,True,False,False,False,False,False,False,False
BW,Babcock & Wilcox Enterprises Inc,Industrials,Specialty Industrial Machinery,2.01B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",10.9,38.8,1,Growth,110.0,90.0,24,Transitional,-20,True,False,False,False,False,False,False,False
VIRT,Virtu Financial Inc,Financial,Capital Markets,6.58B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",3.1,72.1,1,Growth,110.0,90.0,28,Transitional,-20,True,False,False,False,False,False,False,False
